Index,Title,Recommendation,Company Engagement,Has Device,Number of Companies,Is Unique Company
IPG633,Percutaneous insertion of a temporary heart pump for left ventricular haemodynamic support in high-risk percutaneous coronary interventions , Current evidence on the safety of percutaneous insertion of a temporary heart pump for left ventricular haemodynamic support in high-risk percutaneous coronary interventions shows there are serious infrequent but well-recognised safety concerns Evidence on efficacy is limited in quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG634,Transcutaneous neuromuscular electrical stimulation for oropharyngeal dysphagia in adults , Current evidence on transcutaneous neuromuscular electrical stimulation for oropharyngeal dysphagia in adults shows there are no major safety concerns  For adults with dysphagia after a stroke the evidence on efficacy suggests a potential benefit but is limited in quality and quantity Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page  For adults with dysphagia not caused by a stroke there is insufficient evidence on efficacy to support the use of this procedure Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent 4 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview. IP 1033/2 adults ,1,A structured information request was sent 4 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG635,Bronchial thermoplasty for severe asthma , Current evidence on the safety and efficacy of bronchial thermoplasty for severe asthma is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure.,1
IPG636,Ex-situ machine perfusion for extracorporeal preservation of livers for transplantation , The evidence on ex-situ machine perfusion for extracorporeal preservation of livers for transplantation raises no major safety concerns However current evidence on its efficacy is limited in quantity Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or researchFind out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 4 companies who manufacture a potentially relevant device for use in this procedure. NICE received 3 completed submissions. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 4 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG637,Platelet-rich plasma injections for knee osteoarthritis , Current evidence on platelet-rich plasma injections for knee osteoarthritis raises no major safety concerns However the evidence on efficacy is limited in quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or researchFind out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG638,Electrically stimulated intravesical chemotherapy for non-muscle-invasive bladder cancer , Current evidence on electrically stimulated intravesical chemotherapy for non-muscle-invasive bladder cancer shows there are no major safety concerns Evidence on efficacy is limited in quantity and quality Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG642,Barnett Continent Intestinal Reservoir (modified continent ileostomy) to restore continence after colon and rectum removal , The evidence on the safety of Barnett Continent Intestinal Reservoir modified continent ileostomy to restore continence after colon and rectum removal shows that there are serious but well-recognised safety concerns Current evidence on its efficacy is limited in quantity and quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research ,"There is no specific device used for this procedure. Therefore, no structured information requests were sent to companies.  ",0,There is no specific device used for this procedure.,0
IPG643,High-intensity focused ultrasound for symptomatic benign thyroid nodules , The evidence on the safety of high-intensity focused ultrasound for symptomatic benign thyroid nodules raises no major safety concerns however the current evidence on its efficacy is limited in quantity and quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG644,Radially emitting laser fibre treatment of an anal fistula , Current evidence on the safety and efficacy of radially emitting laser fibre treatment of an anal fistula is limited in quantity and quality Therefore although there are no major safety concerns this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE did not receive any completed submission. ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG645,Endoscopic ablation for an anal fistula , Current evidence on endoscopic ablation for an anal fistula raises no major safety concerns and the evidence on efficacy is adequate in quality and quantity Therefore this procedure can be used provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page  The condition current treatments and procedure The condition  An anal fistula is an abnormal tract between the anal canal and the skin around the anus It may cause symptoms such as pain or discomfort and leak blood or pus It usually results from previous anal abscesses cryptoglandular and can be associated with other conditions including inflammatory bowel disease such as Crohns disease and cancer  Anal fistulas can be classified according to their relationship with the external sphincter A fistula may be complex with several openings onto the perianal skin Intersphincteric fistulas are the most common type and cross only the internal anal sphincter Trans-sphincteric fistulas pass through both the internal and external sphincters Current treatments  Treatment of an anal fistula commonly involves surgery The type of surgery depends on the medical history extent location and complexity of the fistula in relation to surrounding muscles The aim is to drain infected material and encourage healing If the fistula does not heal completely another surgical procedure may be needed For simple intersphincteric and low trans-sphincteric anal fistulas the most common treatment is a fistulotomy or laying open of the fistula tract involving muscle division that may affect continence For high and complex deeper fistulas that involve more muscle with a high risk of faecal incontinence or recurrence surgery aims to treat the fistula and preserve sphincter-muscle function Techniques include a -stage or -stage seton suture material or rubber sling either alone or in combination with fistulotomy ligation of an intersphincteric fistula tract creating a mucosal advancement flap injecting glue or paste or inserting a fistula plug in line with NICEs interventional procedures guidance on fistula plug The procedure  Endoscopic ablation of an anal fistula is a less invasive procedure than surgery It aims to preserve sphincter-muscle function and faecal continence It may be done in combination with surgical techniques such as creating a mucosal advancement flap  The procedure is usually done as a day case using spinal or general anaesthesia With the patient in the lithotomy position a fistuloscope is Endoscopic ablation for an anal fistula IPGinserted into the fistula tract from the external opening A continuous jet of irrigation solution is used which allows optimal visualisation of the fistula tract the internal opening and any secondary tracts or abscess cavities When the fistuloscope exits through the internal opening to the rectal mucosa  or  stitches are inserted to isolate the internal opening Under direct vision an electrode is passed through the fistuloscope and the material in the fistula tract is cauterised from the external to the internal opening All necrotic material is removed using a fistula brush and a continuous jet of irrigation solution The fistuloscope is removed and the internal opening closed by suturing stapling or by creating a cutaneous mucosal flap  Committee considerations The evidence  To inform the committee NICE did a rapid review of the published literature on the efficacy and safety of this procedure This comprised a comprehensive literature search and detailed review of the evidence from  sources which was discussed by the committee The evidence included  systematic reviews and  case series and is presented in table  of the interventional procedures overview Other relevant literature is in the appendix of the overview  The specialist advisers and the committee considered the key efficacy outcomes to be ablation of the fistula prevention of recurrence and the need for repeated surgery and improved quality of life  The specialist advisers and the committee considered the key safety outcomes to be bleeding and infection  Seven commentaries from patients who had experience of this procedure were received which were discussed by the committee Endoscopic ablation for an anal fistula IPGCommittee comments  The committee noted that the procedure needs specialised instrumentation and appropriate training  The committee was informed that this procedure allows the direct visualisation of the fistula tract to allow treatment planning and that this is important for the procedures success  The committee was informed that for patients with inflammatory bowel disease the aim of the procedure is often visualisation of the tract and reducing the inflammatory burden within a complex fistula tract system rather than definitive treatment ISBN ---- Endorsing organisation This guidance has been endorsed by Healthcare Improvement Scotland Accreditation Endoscopic ablation for an anal fistula IPG,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG646,Endoscopic ablation for a pilonidal sinus , Current evidence on endoscopic ablation for a pilonidal sinus raises no major safety concerns and the evidence on efficacy is adequate in quality and quantity Therefore this procedure can be used provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page  The condition current treatments and procedure The condition  A pilonidal sinus is a small infected tract or a network of interlinking tracts under the skin between the buttocks The exact cause is unknown but it may be from loose hairs pushing into the skin combined with friction from clothes The risk of developing a pilonidal sinus is increased by spending long periods of time sitting down being overweight a persistent irritation or injury to the affected area having a hairy buttock cleft or a family history of the condition  A pilonidal sinus does not usually cause symptoms unless it is infected and an abscess develops causing pain redness swelling under the skin and leakage of blood and pus Current treatments  Treatments include conservative management with regular bathing and keeping the area dry and antibiotics if the sinus is infected However this does not close the sinus tract Procedures to close the sinus include injecting fibrin glue and surgical excision The procedure  Endoscopic ablation of a pilonidal sinus is less invasive than surgery and is usually done as a day case using spinal or local anaesthesia With the patient in the prone position the external opening of the sinus is incised and a fistuloscope is inserted into the sinus tract A continuous jet of irrigation solution is used allowing optimal visualisation and assessment of the inside of the sinus Under direct vision forceps are used to remove hairs infected tissue and any debris Then an electrode is passed through the fistuloscope to cauterise the main sinus tract and any secondary tracts or abscess cavities Necrotic material is removed using an endobrush and the sinus tract is cleaned using irrigation solution  Committee considerations The evidence  To inform the committee NICE did a rapid review of the published literature on the efficacy and safety of this procedure This comprised a Endoscopic ablation for a pilonidal sinus IPGcomprehensive literature search and detailed review of the evidence from  sources which was discussed by the committee The evidence included  systematic reviews  randomised controlled trial  retrospective comparative studies and  case series and is presented in table  of the interventional procedures overview Other relevant literature is in the appendix of the overview  The specialist advisers and the committee considered the key efficacy outcomes to be ablation of the sinus prevention of recurrence and improved quality of life  The specialist advisers and the committee considered the key safety outcomes to be bleeding and infection  Patient commentary was sought but none was received Committee comments  The committee noted that the procedure needs specialised instrumentation and appropriate training  The committee was informed that the procedure allows direct visualisation of the sinus so it can be effectively cleaned and hairs removed without the need for large incisions and that this is important for the procedures success ISBN ---- Endorsing organisation This guidance has been endorsed by Healthcare Improvement Scotland Endoscopic ablation for a pilonidal sinus IPGAccreditation Endoscopic ablation for a pilonidal sinus IPG,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG647,Therapeutic hypothermia for acute ischaemic stroke , Current evidence on the safety of therapeutic hypothermia for acute ischaemic stroke shows that there are serious complications Evidence on efficacy does not show any meaningful improvement in outcomes Therefore this procedure should not be used Find out why NICE recommends not to use some procedures on the NICE interventional procedures guidance page  The condition current treatments and procedure The condition  Acute ischaemic stroke is characterised by the sudden loss of blood circulation to an area of the brain and a corresponding loss of neurological function This may lead to symptoms such as numbness or weakness of the face arm or leg on  side of the body and often problems with speech and swallowing Stroke severity can be measured using scales such as the National Institutes of Health Stroke scale and the Modified Rankin scale Broadly strokes are classified as either haemorrhagic or ischaemic Acute ischaemic stroke refers to a stroke caused by an arterial thrombosis or embolism It is more common than haemorrhagic stroke Current treatments  Patients suspected to be having an acute ischaemic stroke should have rapid assessment and early intervention with specialist care according to NICEs guideline on stroke and transient ischaemic attack in over s Recanalisation strategies such as thrombolysis attempt to re-establish blood flow so that cells starved of oxygen can be rescued before they are irreversibly damaged Effective stroke care also includes specialised supportive care and rehabilitation when appropriate The procedure  The timing duration and degree of therapeutic hypothermia in trials has varied Typically however cooling has been attempted as close to stroke onset as possible usually within  hours and continued for at least  to  hours with body temperature maintained at C to C This guidance only refers to the use of therapeutic hypothermia and not to other targeted temperature management approaches that treat or prevent pyrexia  Before the procedure the patients temperature is measured and further temperature monitoring is done continuously with an internal intravesical rectal or oesophageal probe connected to the cooling device Cooling devices can be surface ice-cold saline surface cooling cooling helmets and nasal cooling or endovascular systems After cooling the body is slowly rewarmed at a rate of C to C every hour Rewarming takes about  hours During cooling patients need close cardiovascular monitoring in an intensive care environment and Therapeutic hypothermia for acute ischaemic stroke IPGmay also need intubation and sedation Drugs including neuromuscular blockers may be used to manage shivering  The procedure may be used with thrombolysis intravenous alteplase mechanical thrombectomy or other vascular reperfusion techniques  The aim of the procedure is to reduce the risk of secondary brain damage  Committee considerations The evidence  To inform the committee NICE did a rapid review of the published literature on the efficacy and safety of this procedure This comprised a comprehensive literature search and detailed review of the evidence from  sources which was discussed by the committee The evidence included  systematic review  randomised controlled trials  of which was a conference abstract and used for safety data only  non-randomised comparative studies and  case series It is presented in table  of the interventional procedures overview Other relevant literature is in the appendix of the overview  The specialist advisers and the committee considered the key efficacy outcomes to be reduction in mortality and stroke morbidity and improved quality of life  The specialist advisers and the committee considered the key safety outcomes to be worse neurological outcome pneumonia and bleeding Committee comments  There are different methods and different devices used for the procedure  There are variations in the degree of temperature control both in the Therapeutic hypothermia for acute ischaemic stroke IPGdegree of cooling and the length of treatment period and target temperatures can be difficult to achieve  Pneumonia was more common in patients treated with this procedure  This procedure should be differentiated from targeted temperature management more generally which also includes treatment and prevention of pyrexia ISBN ---- Endorsing organisation This guidance has been endorsed by Healthcare Improvement Scotland Accreditation Therapeutic hypothermia for acute ischaemic stroke IPG,A structured information request was sent to 5 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 5 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG648,Collagen paste for closing an anal fistula , Current evidence on the safety and efficacy of collagen paste for closing an anal fistula is inadequate in quantity and quality Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure.,1
IPG649,Percutaneous mitral valve leaflet repair for mitral regurgitation , Current evidence on the safety and efficacy of percutaneous mitral valve leaflet repair for mitral regurgitation is adequate to support the use of this procedure in patients for whom open surgery is contraindicated following risk assessment provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure.,1
IPG650,Percutaneous insertion of a cerebral protection device to prevent cerebral embolism during TAVI , The evidence on percutaneous insertion of a cerebral protection device to prevent cerebral embolism during transcatheter aortic valve implantation TAVI raises no major safety concerns other than those associated with the TAVI procedure However the evidence on efficacy for preventing TAVI-related stroke is inconclusive Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 4 companies who manufacture a potentially relevant device for use in this procedure. NICE received 3 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 4 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG651,Percutaneous mechanical thrombectomy for acute deep vein thrombosis of the leg , Current evidence on the safety of percutaneous mechanical thrombectomy for acute deep vein thrombosis DVT of the leg shows there are well-recognised but infrequent complications  For acute iliofemoral DVT the evidence on efficacy is limited in quality and quantity therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page  For distal DVT that does not extend into the common femoral vein the evidence on efficacy is inconclusive therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 8 companies who manufacture a potentially relevant device for use in this procedure. NICE received 3 completed submissions. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 8 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG652,Bronchoscopic thermal vapour ablation for upper-lobe emphysema , Current evidence on the safety and efficacy of bronchoscopic thermal vapour ablation for upper-lobe emphysema is inadequate in quantity and quality Therefore the procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure.,1
IPG653,Valve-in-valve TAVI for aortic bioprosthetic valve dysfunction , Current evidence on the safety and efficacy of valve-in-valve transcatheter aortic valve implantation ViV-TAVI for aortic bioprosthetic dysfunction is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 7 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. IP 1013/2 Notice of rights.   ,1,A structured information request was sent to 7 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG654,Reinforcement of a permanent stoma with a synthetic or biological mesh to prevent a parastomal hernia , The evidence on the safety of reinforcement of a permanent stoma with a synthetic or biological mesh to prevent a parastomal hernia shows there are serious but well-recognised complications The evidence on efficacy is limited in quantity and quality Therefore this procedure should not be used unless special arrangements are in place for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 4 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 4 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG655,Cardiac contractility modulation device implantation for heart failure , The evidence on cardiac contractility modulation device implantation for heart failure raises no major safety concerns However the evidence on efficacy is inadequate in quantity and quality Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure.,1
IPG656,Transurethral laser ablation for recurrent non-muscle-invasive bladder cancer , The evidence on the safety of transurethral laser ablation for recurrent non-muscle-invasive bladder cancer shows that there are no major safety concerns However current evidence on its efficacy is limited in quality and quantity Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 5 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed IP 1723 Notice of rights.   submissions. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 5 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG657,Ultrasound-guided high-intensity transcutaneous focused ultrasound for symptomatic uterine fibroids , Current evidence on the safety of ultrasound-guided high-intensity transcutaneous focused ultrasound for symptomatic uterine fibroids shows there are well-recognised complications including skin burns The evidence on efficacy is limited in quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE did not receive any completed submission. ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG658,Endovascular insertion of an intrasaccular wire-mesh blood-flow disruption device for intracranial aneurysms , Current evidence on the safety and efficacy of endovascular insertion of an intrasaccular wire-mesh blood-flow disruption device for intracranial aneurysms is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE did not receive any completed submissions. IP 1040 for intracranial aneurysms Notice of rights.   ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG659,Low-energy contact X-ray brachytherapy (the Papillon technique) for locally advanced rectal cancer , Current evidence on the safety and efficacy of low-energy contact X-ray brachytherapy the Papillon technique for locally advanced rectal cancer is inadequate in quantity and quality Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG660,Implant insertion for prominent ears , Current evidence on the safety and efficacy of implant insertion for prominent ears is inadequate in quality and quantity Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure. NICE did not receive a completed submission.  ,1,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure.,1
IPG661,High-intensity focused ultrasound for glaucoma , Evidence on the safety and efficacy of high-intensity focused ultrasound for glaucoma is inadequate in quality and quantity Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure. NICE did not receive any completed submissions. IP 1087 Notice of rights.   ,1,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure.,1
IPG662,Bioprosthetic plug insertion for anal fistula , Current evidence on the safety and efficacy of bioprosthetic plug insertion for anal fistula is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG663,Midcarpal hemiarthroplasty for wrist arthritis , Evidence on the safety and efficacy of midcarpal hemiarthroplasty for wrist arthritis is inadequate in quantity and quality Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG664,Irreversible electroporation for primary liver cancer , Evidence on the safety of irreversible electroporation for primary liver cancer shows serious but infrequent and well-recognised complications Evidence on its efficacy is inadequate in quantity and quality Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure.,1
IPG665,Balloon dilation for chronic eustachian tube dysfunction , Evidence on the safety and efficacy of balloon dilation for eustachian tube dysfunction is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page  The condition current treatments and procedure The condition  The eustachian tube is a narrow tube that connects the middle ear with the back of the nose If it is blocked or does not open properly there can be symptoms such as muffled hearing pain a feeling of fullness in the ear tinnitus or dizziness The eustachian tube typically becomes blocked after an upper respiratory tract infection or allergic rhinitis It is usually a temporary problem that resolves spontaneously but sometimes symptoms persist and treatment is necessary Long-term eustachian tube dysfunction is associated with damage to the eardrum and middle-ear transformer mechanism Current treatments  Medical treatments include oral and nasal corticosteroids decongestants and antihistamines Autoinflation is a technique that reopens the eustachian tube by raising pressure in the nose This can be achieved in several ways including forced exhalation against a closed mouth and nose  If eustachian tube dysfunction persists a tympanostomy tube also known as a ventilation tube or grommet may be inserted through a small incision in the tympanic membrane These typically fall out after several months and repeated tube insertions may be needed Some tubes are designed to stay in place for longer but these can become crusted infected or obstructed Tympanostomy tubes may result in a small permanent hole in the tympanic membrane this is more common with long-lasting tubes The procedure  Balloon dilation of the eustachian tube is done using local or general Balloon dilation for chronic eustachian tube dysfunction IPGanaesthesia A balloon catheter is introduced into the eustachian tube via the nose under transnasal endoscopic vision Once the balloon is correctly positioned in the eustachian tube it is filled with saline up to a pressure of about  to  bars Pressure is maintained for about  minutes The balloon is then emptied and removed  The aim of the procedure is to widen the eustachian tube and improve its function  Committee considerations The evidence  NICE did a rapid review of the published literature on the efficacy and safety of this procedure This comprised a comprehensive literature search and detailed review of the evidence from  sources which was discussed by the committee The evidence included  randomised controlled trials both of which had longer follow up reported in separate papers  systematic reviews and  case series  of which was also included in the systematic reviews It is presented in table  of the interventional procedures overview Other relevant literature is in the appendix of the overview  The specialist advisers and the committee considered the key efficacy outcomes to be improvement in symptoms disease-specific quality-of-life scores and physiological measures of eustachian tube function  The specialist advisers and the committee considered the key safety outcomes to be pain and patulous eustachian tube  Patient commentary was sought but none was received Committee comments  The committee noted that the procedure was not effective in all patients and that there was little evidence on the benefit of repeat procedures Balloon dilation for chronic eustachian tube dysfunction IPG The committee was informed that the procedure is only indicated for chronic eustachian tube dysfunction refractory to medical treatment ISBN ---- Endorsing organisation This guidance has been endorsed by Healthcare Improvement Scotland Accreditation Balloon dilation for chronic eustachian tube dysfunction IPG,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG667,Fetoscopic prenatal repair for open neural tube defects in the fetus , Evidence on the safety and efficacy of fetoscopic prenatal repair of open neural tube defects in the fetus is inadequate in quantity and quality Therefore this procedure should only be used in the context of research This could be in the form of randomised controlled trials or published registry data Find out what only in research means on the NICE interventional procedures guidance page ,"There is no specific device used for this procedure other than those normally used in surgical procedures. If there is insufficient dura or skin to complete the closure, then a patch substitute (single layer dermal regeneration template) is used for repair. These products are not CE marked for use in this procedure/indication. They are mainly considered as off label use. Therefore, no structured information requests were sent to companies.  ",0,There is no specific device used for this procedure other than those normally used in surgical procedures.,0
